year,price,location,branch,model,origin,km_driven,external_color,internal_color,num_seats,fuels,engine_capacity,gearbox,wheel_drive,car_type,prediction
2015,393.0,23,5,18,0,0.0,9,2,0,0,1.5,0,0,3,431.38
2018,519.0,0,0,29,0,45000.0,9,0,0,0,1.6,0,0,3,756.1665952380952
2017,265.0,24,1,40,0,57000.0,6,10,0,0,1.4,0,0,3,558.41
2018,3099.0,2,6,41,1,0.0,0,0,0,0,3.0,0,3,6,4048.2
2019,489.0,2,0,33,0,23000.0,12,9,0,0,1.4,0,0,3,730.17
2013,685.0,2,0,7,1,61000.0,4,2,1,0,2.4,0,0,1,618.0341666666667
2012,1185.0,4,16,42,1,91000.0,6,2,1,0,3.0,0,3,1,813.79
2017,2390.0,2,6,20,0,17000.0,9,2,0,0,3.0,0,1,3,2864.1417619047616
2021,1320.0,2,4,43,0,10000.0,6,0,1,1,2.2,0,3,1,1326.35
2019,535.0,20,4,44,0,30000.0,0,6,0,0,1.6,0,0,3,782.69
2016,532.0,4,17,45,1,61000.0,6,0,0,1,2.5,0,1,2,599.4572222222223
2012,130.0,15,4,14,0,0.0,4,2,0,0,1.1,1,0,4,191.30333333333337
2020,545.0,2,4,46,0,0.0,9,0,1,0,2.0,0,0,1,961.91
2018,755.0,2,10,47,0,0.0,9,2,0,0,2.0,0,0,1,1025.79
2019,495.0,2,7,9,0,28000.0,6,2,0,0,1.5,0,0,3,734.385
2020,415.0,2,4,48,0,0.0,0,3,0,0,1.4,0,0,3,746.175
2008,130.0,4,15,39,0,0.0,4,0,0,0,1.5,1,0,3,164.065
2021,1978.0,2,6,23,0,4000.0,6,2,0,0,1.5,0,1,3,794.73
2016,398.0,7,4,32,1,55000.0,6,0,0,0,1.4,0,0,3,465.895
2018,1819.0,2,6,23,0,35000.0,6,2,0,0,2.0,0,1,3,763.3366666666667
2014,3750.0,2,18,49,1,60000.0,3,2,0,0,3.0,0,3,1,1312.895
2010,1400.0,4,14,34,1,73000.0,6,4,4,0,4.8,0,1,3,1250.76
2021,920.0,2,2,50,0,20000.0,6,4,0,0,2.0,0,1,3,900.2116666666666
2008,58.0,7,15,51,0,0.0,8,8,0,0,0.8,1,0,4,88.34
2018,1800.0,4,16,52,1,50000.0,6,10,0,0,2.0,0,3,1,1915.7566666666667
1995,99.0,21,10,53,1,0.0,6,7,0,0,1.6,1,0,3,93.37
2016,300.0,2,4,14,0,104000.0,0,6,0,0,1.25,0,0,4,343.2
2018,518.0,6,4,46,0,0.0,0,2,1,0,2.0,0,0,1,796.08
2015,530.0,0,5,19,0,0.0,9,6,0,0,1.8,0,0,3,816.0
2019,850.0,2,10,47,0,0.0,8,2,0,0,2.5,0,0,1,1380.4558333333332
2020,445.0,7,8,54,1,3.0,6,4,1,0,1.5,1,0,1,475.23
2017,1600.0,2,6,38,0,64000.0,8,0,0,0,2.0,0,3,1,1735.6166666666668
2014,520.0,4,3,55,0,120000.0,4,9,2,1,2.5,1,1,1,450.515
2017,325.0,4,1,56,0,58000.0,6,2,0,0,1.6,1,0,3,402.04
2011,113.0,15,4,14,0,0.0,3,9,0,0,1.1,1,0,4,180.2566666666667
2016,1180.0,2,13,30,1,50000.0,9,0,0,0,2.0,0,1,3,564.995
2017,398.0,25,5,6,0,60000.0,4,4,2,0,2.0,1,1,0,819.7283333333332
2020,1125.0,2,0,7,0,10000.0,9,11,1,0,2.4,0,3,1,1086.1896666666667
2019,959.0,2,5,5,0,40000.0,4,4,2,1,2.4,0,1,1,1115.31
2020,540.0,13,5,18,0,30000.0,0,0,0,0,1.5,0,0,3,646.965
2020,919.0,2,2,2,0,0.0,6,4,1,0,2.0,0,1,1,1502.5058333333332
2021,555.0,2,0,33,0,0.0,6,6,0,0,1.4,0,0,3,706.1
2011,500.0,21,0,7,1,130000.0,2,0,1,0,2.4,0,2,1,442.38
2008,420.0,4,17,57,1,0.0,9,3,0,0,3.5,0,3,0,588.59
2017,680.0,2,17,58,0,0.0,6,2,1,0,2.0,0,0,1,999.06
2019,686.0,26,3,3,1,93000.0,8,2,0,1,2.2,0,1,2,1079.98
2015,4380.0,2,18,49,1,57000.0,9,1,0,0,3.0,0,3,1,1644.83
2021,2450.0,23,6,38,0,700.0,0,0,0,0,2.0,0,3,1,2677.72
2016,568.0,2,3,3,1,69835.0,6,4,0,1,2.2,0,1,2,902.9066666666668
2019,2320.0,2,11,21,1,50000.0,9,4,0,0,2.5,0,0,3,766.88
2018,1450.0,2,13,59,1,21668.0,5,0,0,0,1.5,0,1,1,1421.382
2017,535.0,2,19,60,0,72000.0,2,0,1,1,2.5,1,1,1,680.6614285714286
2020,626.0,27,4,44,0,28000.0,9,9,0,0,2.0,0,0,3,888.0336666666667
2019,605.0,20,4,44,0,70000.0,0,9,0,0,2.0,0,0,3,796.8266666666667
2018,560.0,28,10,17,0,28000.0,0,2,0,0,1.5,0,0,4,809.4225
2019,595.0,0,10,17,0,34567.0,6,2,0,0,1.5,0,0,3,824.5225
2016,430.0,2,0,33,1,28000.0,6,6,0,0,1.4,0,0,4,503.86
2011,263.0,2,4,61,0,82000.0,6,6,1,0,2.0,1,0,0,299.24
2016,558.0,4,3,3,1,0.0,8,3,0,1,2.2,0,1,2,915.945
2019,869.0,2,19,62,0,27000.0,9,2,1,0,2.4,0,2,1,918.8426666666668
2012,133.0,0,4,14,0,0.0,8,6,0,0,1.1,1,0,4,188.75
2008,190.0,2,4,14,1,80000.0,0,0,0,0,1.0,0,0,4,210.0595
2016,2488.0,2,11,25,1,26000.0,0,4,0,0,2.0,0,3,1,2213.275
2017,760.0,0,10,47,0,68000.0,6,2,0,0,2.5,0,0,1,1179.6466666666665
2018,540.0,29,17,45,1,38000.0,8,13,0,1,2.5,0,1,2,731.8216666666667
2017,685.0,24,10,47,0,100000.0,8,0,0,0,2.5,0,0,1,1180.1399999999999
2017,515.0,4,10,17,0,52000.0,11,2,0,0,1.5,0,0,3,652.66
2018,438.0,27,4,46,0,0.0,6,11,1,0,2.0,1,0,1,724.32
2017,1230.0,2,6,8,0,13000.0,8,0,0,0,2.0,0,1,3,795.694761904762
2015,690.0,4,6,63,1,70000.0,8,13,0,0,1.6,0,0,3,671.4583333333333
2017,527.0,4,5,6,0,96000.0,4,4,2,0,2.0,1,1,0,823.7699999999999
2018,850.0,2,10,47,0,30000.0,7,2,0,0,2.5,0,0,1,1375.8619523809525
2018,580.0,8,10,64,1,0.0,6,3,0,1,2.2,0,1,2,763.27
2017,1399.0,2,6,38,0,107000.0,8,4,0,0,2.0,0,3,1,1746.71
2010,348.0,2,17,65,1,99000.0,9,2,0,0,2.0,0,0,3,362.4433333333334
2015,360.0,2,3,3,1,90000.0,6,9,0,1,2.2,1,1,2,767.91
2020,645.0,2,10,17,0,24000.0,0,2,0,0,1.5,0,0,3,823.135
2009,389.0,30,7,16,0,99000.0,9,2,0,0,2.4,0,0,1,405.09
2001,80.0,2,15,37,0,225724.0,6,6,0,0,1.6,1,0,3,113.66
2018,1190.0,2,6,8,0,38000.0,6,0,0,0,2.0,0,1,3,826.5716666666667
2018,680.0,2,19,62,0,95000.0,9,6,1,0,2.0,0,0,1,1204.2745238095238
2009,285.0,31,5,6,0,107000.0,4,5,2,0,2.0,1,1,0,315.21
2016,385.0,2,1,56,0,90000.0,9,6,0,0,1.8,0,0,3,873.43
2019,2898.0,2,11,25,1,30000.0,9,0,0,0,2.0,0,3,1,2315.12
2009,120.0,7,15,51,1,0.0,0,2,0,0,0.8,0,0,4,128.53
2008,999.0,2,11,66,1,80000.0,6,0,0,0,4.6,0,1,3,1021.66
2018,720.0,6,10,27,0,107000.0,6,2,0,0,2.0,0,0,3,915.49
2015,1059.0,2,16,67,1,75000.0,9,2,0,0,2.0,0,3,3,734.61
2020,485.0,0,0,33,0,0.0,9,2,0,0,1.4,0,0,3,715.2925
2018,1768.0,2,6,38,0,1000000.0,9,0,0,0,2.0,0,3,1,2196.5517142857143
2017,760.0,2,5,24,0,50000.0,12,0,0,0,2.0,0,0,3,751.6866666666667
2022,675.0,2,4,68,0,5000.0,0,9,0,0,1.6,0,0,3,907.265
2019,13500.0,4,6,11,1,13500.0,9,4,0,0,4.0,0,3,1,4767.016
2018,548.0,4,10,17,0,0.0,6,3,0,0,1.5,0,0,3,777.0025
2017,413.0,27,5,18,0,0.0,6,11,0,0,1.5,0,0,3,560.56
2019,398.0,2,19,69,1,40000.0,0,2,0,0,1.2,0,0,3,423.355
2011,159.0,2,1,70,1,98605.0,6,10,3,0,1.0,0,0,5,213.49
2016,240.0,6,4,14,0,66280.0,3,2,0,0,1.25,1,0,4,239.81
2016,485.0,8,10,64,1,0.0,9,2,0,1,2.2,0,1,2,626.36
2016,408.0,4,10,71,0,76000.0,3,2,0,0,1.5,0,0,4,469.92
2008,298.0,6,5,6,0,92000.0,12,0,2,0,2.0,1,1,0,281.51
2019,335.0,20,2,35,0,32817.0,11,2,0,0,1.4,0,0,4,729.16
2018,720.0,2,3,72,0,50000.0,9,2,5,1,2.4,1,1,5,568.29
2020,375.0,25,2,35,0,17000.0,0,2,0,0,1.4,0,0,4,726.705
2019,968.0,4,5,5,0,62000.0,9,4,2,1,2.4,0,1,1,1115.51
2012,480.0,4,5,5,0,0.0,4,0,2,0,2.7,0,1,1,1118.2533333333333
2017,435.0,2,4,32,1,33000.0,9,0,0,0,1.4,0,0,3,577.1433333333333
2021,739.0,0,10,17,0,0.0,9,2,0,0,1.5,0,0,3,852.22
2015,695.0,4,3,3,1,94000.0,6,9,0,1,3.2,0,2,2,1264.15
2018,385.0,4,8,73,1,66000.0,2,2,0,0,1.4,0,0,3,772.345
2013,388.0,15,3,36,0,83863.0,13,2,0,0,2.3,0,0,1,771.67
2016,1580.0,4,16,74,1,0.0,8,3,4,0,2.0,0,0,6,2987.8
2017,1369.0,2,6,8,0,40000.0,6,2,0,0,2.0,0,1,3,761.7220952380953
2016,490.0,2,3,3,1,111000.0,6,9,0,1,2.2,1,1,2,835.83
2013,219.0,0,1,70,0,0.0,6,11,0,0,1.0,0,0,4,313.58
2020,1230.0,2,0,7,0,23000.0,9,4,1,1,2.2,0,3,1,1201.84
2019,1279.0,2,6,8,0,19000.0,0,0,0,0,1.5,0,1,3,746.63
2017,710.0,2,19,62,1,39000.0,0,0,1,0,2.0,0,0,1,654.59
2014,178.0,2,17,75,0,220000.0,6,7,0,0,1.5,1,0,3,211.845
2017,340.0,2,0,10,0,0.0,10,9,0,0,1.25,0,0,4,396.48
2018,735.0,2,3,3,1,0.0,12,3,0,1,2.2,0,2,2,1075.9699999999998
2016,323.0,32,5,18,0,0.0,3,6,0,0,1.5,1,0,3,308.335
2019,1045.0,2,3,55,1,0.0,9,6,1,1,2.0,0,1,1,932.0166666666668
2017,5186.0,2,14,76,1,20000.0,9,0,0,0,3.6,0,3,1,1751.06
2016,499.0,2,10,17,0,50000.0,0,2,0,0,1.5,0,0,3,510.82866666666666
2018,785.0,2,10,47,0,32000.0,9,2,0,0,2.0,0,0,1,1020.0633333333333
2015,333.0,4,5,6,0,150000.0,3,0,2,0,2.0,1,1,0,801.1016666666667
2005,134.0,7,19,77,0,0.0,4,6,2,0,2.0,1,1,1,147.74
2015,665.0,2,5,5,0,150000.0,4,0,2,1,2.5,1,1,1,819.7666666666665
2015,1150.0,2,13,30,1,80000.0,6,0,0,0,2.0,0,1,3,504.77
2009,92.0,3,1,70,0,0.0,4,6,3,0,0.8,1,0,5,108.995
2010,282.0,2,5,6,0,130000.0,4,6,2,0,2.0,1,1,0,352.975
2016,359.0,4,4,68,0,129000.0,6,7,0,0,1.6,1,0,3,387.31
2009,365.0,13,5,5,0,98068.0,9,12,2,0,2.7,0,2,1,463.89
2015,498.0,2,10,17,0,0.0,6,6,0,0,1.5,0,0,3,476.85
2018,545.0,4,5,6,0,0.0,4,2,2,0,2.0,1,1,0,839.8466666666666
2019,645.0,4,5,6,0,29000.0,4,4,2,0,2.0,1,1,0,850.82
2016,735.0,2,3,3,1,70000.0,6,2,0,1,3.2,0,2,2,1528.66
2021,486.0,2,7,78,1,1038.0,0,0,0,0,1.2,0,0,4,488.1775
2014,350.0,2,5,18,0,100000.0,11,0,0,0,1.5,1,0,3,269.07166666666666
2019,625.0,2,4,44,0,26486.0,9,9,0,0,2.0,0,0,3,809.59
2019,8900.0,4,11,79,1,32000.0,9,9,1,0,5.7,0,3,1,9018.88
2010,669.0,2,13,30,1,70000.0,9,0,0,0,2.5,0,1,3,352.21
2016,2050.0,2,11,80,1,3400.0,12,2,0,0,2.0,0,3,1,1703.6946666666668
2021,2950.0,4,6,23,0,30.0,9,2,0,0,2.0,0,1,3,937.49
2007,280.0,2,6,23,0,16.0,9,2,0,0,3.0,0,1,3,497.54
2020,4039.0,4,6,20,0,3000.0,6,0,0,0,3.0,0,1,3,3819.5
2012,1850.0,4,14,76,1,100000.0,2,0,0,0,3.6,0,3,1,711.43
2007,168.0,2,4,81,0,200000.0,11,4,1,0,2.5,1,0,5,209.97
2020,565.0,4,5,18,0,26500.0,6,0,0,0,1.5,0,0,3,638.65
2004,173.0,24,3,36,0,0.0,9,6,0,0,2.3,0,2,1,212.68
2010,1190.0,2,11,25,1,80000.0,9,4,0,2,3.5,0,3,1,941.25
2015,460.0,2,10,17,0,68523.0,3,2,0,0,1.5,0,0,3,479.53
2007,128.0,3,15,39,0,0.0,4,6,0,0,1.5,1,0,3,138.86
2019,499.0,4,19,82,1,50000.0,4,0,1,0,1.5,0,0,1,832.5666666666666
2015,148.0,33,4,14,0,0.0,8,6,0,0,1.25,1,0,4,208.95
2019,568.0,2,3,83,0,17000.0,7,2,0,0,1.5,0,0,1,972.2675
2020,2260.0,2,6,38,1,20000.0,0,0,0,0,2.0,0,3,1,2386.3438095238093
2016,289.0,2,5,18,0,58000.0,9,0,0,0,1.5,1,0,3,313.08945238095237
2017,468.0,2,3,83,0,47000.0,0,2,0,0,1.5,0,0,1,753.4016666666665
2021,435.0,2,4,48,0,26000.0,8,9,0,0,1.4,0,0,3,715.825
2011,650.0,4,13,84,1,52000.0,9,0,0,0,3.0,0,3,1,734.92
2020,608.0,19,5,85,1,16800.0,0,8,1,0,1.5,0,1,1,783.7825
2013,390.0,6,5,6,0,0.0,3,4,2,0,2.0,0,1,0,735.8533333333335
2016,185.0,2,4,14,0,110000.0,6,2,0,0,1.25,1,0,4,234.31
2017,1590.0,2,6,38,0,45000.0,8,0,0,0,2.0,0,3,1,1757.1366666666668
2016,550.0,2,5,19,0,55000.0,4,0,0,0,1.8,0,0,3,769.77
2015,453.0,21,4,68,0,0.0,4,6,0,0,2.0,0,0,3,722.22
2013,570.0,34,5,5,0,91000.0,4,14,2,1,2.5,1,1,1,588.81
2021,1280.0,4,4,43,0,27000.0,8,0,1,1,2.2,0,3,1,1316.1
2018,835.0,2,0,0,0,39000.0,6,6,0,0,1.6,0,0,0,648.51
2007,235.0,31,5,6,0,0.0,4,0,2,0,2.0,1,1,0,260.97833333333335
2017,450.0,7,5,18,0,15000.0,4,0,0,0,1.5,0,0,3,581.85
2009,115.0,15,15,39,0,0.0,4,6,0,0,1.5,1,0,3,180.7866666666667
2015,385.0,13,4,32,1,80000.0,6,0,0,0,1.4,0,0,3,453.74
2018,490.0,2,7,9,0,0.0,6,2,0,0,1.5,0,0,3,685.155
2003,143.0,2,13,86,0,0.0,4,6,0,0,2.5,0,1,3,214.8
2020,3300.0,2,11,25,1,19000.0,9,4,0,0,2.0,0,3,1,2562.014583333333
2018,545.0,4,3,83,0,27000.0,0,8,0,0,1.5,0,0,1,886.35
2006,228.0,7,5,6,0,0.0,4,6,2,0,2.0,1,1,0,248.54
2019,575.0,2,17,45,1,46000.0,10,0,0,1,2.5,0,1,2,821.11
2016,425.0,7,5,18,0,72000.0,12,11,0,0,1.5,0,0,3,457.88
2007,688.0,2,6,20,1,90000.0,9,4,0,0,3.5,0,1,3,527.75
2019,395.0,13,5,18,0,47000.0,12,14,0,0,1.5,1,0,3,446.775
2020,375.0,20,4,14,0,20000.0,3,9,0,0,1.25,0,0,4,470.18
2007,1880.0,4,3,72,1,0.0,6,4,3,1,2.2,1,1,5,187.18
2020,739.0,2,10,64,1,25000.0,8,13,0,1,3.2,0,2,2,3912.83
2020,683.0,2,10,17,0,10000.0,6,2,0,0,1.5,0,0,3,830.9
2020,640.0,4,10,64,1,12000.0,6,2,0,1,2.2,1,2,2,706.0326666666666
2018,1750.0,4,3,87,1,55000.0,6,11,1,0,2.3,0,3,1,967.95
2019,620.0,4,10,17,0,7000.0,0,2,0,0,1.5,0,0,4,827.1225
2015,2699.0,2,6,20,0,50000.0,2,0,0,0,4.7,0,1,3,2274.95
2007,510.0,35,5,88,1,0.0,9,9,1,0,2.7,0,2,1,394.95
2019,860.0,2,3,3,1,50000.0,9,2,0,1,2.0,0,2,2,1260.919047619048
2019,500.0,2,5,18,0,42000.0,7,14,0,0,1.5,0,0,3,641.1616666666666
2018,728.0,2,19,62,0,0.0,6,0,1,0,2.0,0,0,1,1219.6633333333332
2013,1250.0,4,13,30,1,0.0,2,3,0,0,3.0,0,1,3,557.14
2016,395.0,2,3,89,0,58000.0,0,9,0,0,1.0,0,0,4,506.4741666666667
2019,969.0,2,2,2,0,0.0,4,4,1,0,2.0,0,1,1,1506.335833333333
2010,510.0,2,6,23,0,140000.0,9,2,0,0,1.8,0,1,3,423.28
2007,390.0,7,5,24,0,120000.0,2,3,0,0,2.4,0,0,3,364.83
2010,205.0,13,15,90,1,171717.0,4,5,0,0,1.6,1,0,3,176.77
2018,320.0,4,5,91,1,43000.0,4,2,0,0,1.2,0,0,4,589.1333333333333
2012,780.0,4,0,92,1,0.0,9,6,4,0,3.3,0,1,3,833.14
2012,479.0,2,7,16,0,70600.0,2,2,0,0,2.4,0,0,1,667.19
2008,190.0,2,1,1,0,12000.0,3,0,1,0,2.4,1,0,1,295.31
2021,547.0,4,0,33,0,12000.0,2,0,0,0,1.4,0,0,3,712.365
2009,240.0,7,15,90,1,0.0,4,7,0,0,1.6,0,0,3,236.27
2010,665.0,2,5,24,1,65000.0,9,0,0,0,2.5,0,0,3,372.04
2014,455.0,2,5,93,1,65000.0,6,2,0,0,1.3,0,0,4,381.66
2008,58.0,36,15,51,0,0.0,8,9,0,0,0.8,1,0,4,87.67
2005,133.0,2,5,94,0,0.0,8,6,2,0,1.8,1,1,1,152.35
2019,739.0,2,7,95,1,37000.0,6,2,0,0,1.8,0,0,0,577.5058333333333
2020,6350.0,2,14,34,1,0.0,6,0,4,0,3.0,0,1,3,2429.77
2019,348.0,2,5,91,1,18000.0,0,6,0,0,1.2,0,0,4,583.485
2018,1792.0,2,6,38,0,57000.0,9,4,0,0,2.0,0,3,1,2234.2553333333335
2012,680.0,0,0,96,1,0.0,9,12,0,0,3.0,0,0,3,856.0
2020,725.0,4,5,19,0,14000.0,9,2,0,0,1.8,0,0,3,762.3866666666665
2017,595.0,2,3,3,1,6.0,9,2,0,1,2.2,0,1,2,918.6816666666667
2016,356.0,2,0,10,1,48000.0,6,9,0,0,1.25,0,0,4,349.71
2016,675.0,37,3,3,1,0.0,5,9,0,1,3.2,0,2,2,1447.65
2020,598.0,15,5,85,1,0.0,9,6,1,0,1.5,0,1,1,735.44
2021,398.0,2,2,35,0,7000.0,6,6,0,0,1.4,0,0,4,703.745
2011,315.0,15,7,26,0,86000.0,4,4,0,0,1.8,1,0,3,275.76
2020,1700.0,2,6,38,0,35000.0,9,2,0,0,2.0,0,1,1,1187.49
2010,223.0,2,4,14,1,0.0,6,6,0,0,1.0,0,0,4,238.45
2017,1350.0,2,3,87,1,60000.0,6,0,1,0,2.3,0,3,1,837.438
2002,94.0,2,20,97,0,0.0,3,7,1,0,3.2,1,2,1,155.25
2006,255.0,19,0,98,1,0.0,6,2,6,1,2.5,1,1,7,166.92
2021,550.0,6,10,71,1,9400.0,0,0,0,0,1.5,0,0,4,806.26
2017,555.0,2,10,17,0,60000.0,6,2,0,0,1.5,0,0,3,648.2683333333333
2002,140.0,29,10,99,0,260000.0,9,3,0,0,2.0,1,0,3,122.49
2009,95.0,38,1,70,0,0.0,6,6,0,0,0.8,1,0,4,99.18
2021,1050.0,25,10,100,0,200.0,8,4,1,0,2.5,0,0,1,1479.215
2009,158.0,10,15,90,0,0.0,4,6,0,0,1.6,1,0,3,210.37
2017,2740.0,2,6,20,0,5000.0,6,4,0,0,3.0,0,1,3,2920.529190476191
2013,620.0,25,7,16,0,45000.0,6,2,0,0,2.4,0,0,1,719.1533333333333
2016,740.0,2,3,3,1,60000.0,9,2,0,1,3.2,0,2,2,1508.92
2009,419.0,2,3,55,0,271052.0,14,6,2,1,2.5,1,1,1,292.77
2015,256.0,6,0,10,1,69000.0,6,6,0,0,1.0,1,0,4,207.05
2011,263.0,17,5,18,0,0.0,4,6,0,0,1.5,1,0,3,216.075
2018,710.0,4,5,6,0,33900.0,4,4,2,0,2.0,0,1,0,856.43
2017,1080.0,25,6,8,0,36000.0,8,2,0,0,2.0,0,1,3,776.379761904762
2008,235.0,16,7,26,0,12080.0,11,0,0,0,1.8,1,0,3,234.045
2019,1720.0,2,6,23,0,30000.0,9,4,0,0,2.0,0,1,3,819.58
2017,575.0,4,17,45,1,60000.0,8,0,0,1,2.5,0,1,2,662.1416666666665
2019,880.0,2,4,43,0,24000.0,6,0,1,1,2.2,0,0,1,848.03
2016,438.0,14,3,83,0,71000.0,11,2,0,0,1.5,0,0,1,725.8
2017,1670.0,2,6,38,0,0.0,6,3,0,0,2.0,0,3,1,1735.2746666666667
2017,420.0,2,10,71,0,68000.0,0,2,0,0,1.5,0,0,3,625.7816666666666
2018,845.0,2,10,47,0,23000.0,8,2,0,0,2.5,0,0,1,1372.490952380952
2021,1080.0,2,5,5,0,8000.0,6,2,1,1,2.4,0,1,1,1296.2333333333333
2020,13600.0,2,6,11,1,6200.0,6,4,0,0,4.0,0,3,1,5741.252
2008,113.0,15,15,90,0,0.0,9,6,0,0,1.6,1,0,3,201.52
2009,93.0,27,1,70,0,0.0,0,6,0,0,0.8,1,0,4,100.6
2019,890.0,2,4,43,0,0.0,6,0,1,1,2.2,0,0,1,851.99
2018,520.0,19,5,6,0,70000.0,6,12,2,0,2.0,1,1,0,846.6083333333332
2011,490.0,2,6,8,0,0.0,9,3,0,0,1.8,0,1,3,475.33
2010,1895.0,2,11,101,1,80000.0,9,0,1,0,4.6,0,3,1,1579.49
