year,price,location,branch,model,origin,km_driven,external_color,internal_color,num_seats,fuels,engine_capacity,gearbox,wheel_drive,car_type
2004,255.0,11,0,0,1,0.0,2,0,0,0,2.4,1,0,0
2016,295.0,0,0,17,1,60000.0,6,2,0,0,1.5,1,0,0
2000,165.0,12,8,33,0,68686.0,3,2,1,0,2.4,1,2,1
2018,490.0,1,0,17,1,20000.0,7,2,0,0,1.5,0,0,0
2008,110.0,0,15,34,1,0.0,2,1,0,0,1.6,1,0,0
2014,800.0,13,2,2,0,0.0,2,1,1,1,2.2,0,2,1
2017,190.0,9,9,25,1,0.0,5,6,0,0,1.25,1,0,2
2009,360.0,0,0,35,1,190000.0,0,2,0,0,1.8,0,0,0
2015,493.0,11,11,36,1,0.0,3,1,0,0,1.5,0,0,0
2007,143.0,14,0,17,1,0.0,3,7,0,0,1.5,1,0,0
2016,345.0,0,2,37,0,66000.0,1,7,0,0,1.25,0,0,2
2018,3480.0,0,3,8,1,30000.0,2,1,0,0,3.0,0,1,0
2011,399.0,15,0,35,1,90000.0,5,2,0,0,1.8,0,0,0
2019,538.0,1,4,5,1,44000.0,3,1,0,0,1.5,0,0,0
2008,230.0,3,13,38,1,180000.0,8,2,1,0,2.4,1,0,1
2015,800.0,0,3,39,0,82000.0,9,1,0,0,1.6,0,0,0
2002,239.0,0,0,0,1,234689.0,2,0,0,0,3.0,0,0,0
2019,6655.0,0,6,40,0,28000.0,3,6,3,0,3.0,0,1,0
2020,600.0,1,14,29,1,0.0,3,1,0,0,1.5,0,0,1
2014,318.0,16,14,41,1,0.0,0,0,4,1,2.4,1,1,5
2014,2480.0,0,0,10,0,97000.0,0,1,2,0,4.6,0,3,1
2016,415.0,0,14,42,0,16.0,3,8,0,1,2.2,1,1,4
2011,160.0,17,2,37,0,0.0,5,1,0,0,1.1,1,0,2
2017,756.0,18,0,6,0,80000.0,2,1,2,1,2.4,1,1,1
2009,525.0,0,2,2,0,170000.0,0,1,1,1,2.0,0,0,1
2020,928.0,1,4,14,0,22000.0,2,1,1,0,1.5,0,0,1
2014,2580.0,0,6,43,0,28000.0,7,9,0,0,3.6,0,3,1
2015,498.0,19,14,42,0,0.0,6,0,0,1,2.2,0,1,4
2011,345.0,0,0,22,0,85000.0,4,2,0,0,1.3,0,0,2
2008,365.0,3,0,0,1,186000.0,0,0,0,0,2.4,0,0,0
2012,480.0,0,4,14,1,110000.0,0,1,0,0,2.4,0,0,1
2020,1040.0,0,5,11,1,21868.0,3,6,1,0,2.0,0,1,1
2019,324.0,20,2,37,1,42000.0,7,1,0,0,1.25,1,0,2
2021,650.0,20,0,22,0,13000.0,6,0,0,0,1.5,0,0,2
2016,2450.0,0,0,44,0,62000.0,3,6,1,0,3.5,0,0,5
2017,270.0,15,2,37,0,0.0,0,10,0,0,1.25,1,0,0
2017,510.0,21,0,21,1,70000.0,0,6,2,0,2.0,1,1,3
2016,228.0,8,2,37,0,0.0,0,7,0,0,1.25,1,0,0
2010,88.0,22,13,45,1,0.0,0,4,0,0,0.8,1,0,2
2021,720.0,1,14,42,0,21000.0,2,1,0,1,2.2,0,1,4
2019,955.0,1,11,46,1,53000.0,2,1,0,0,2.5,0,3,1
2013,210.0,0,9,25,0,0.0,5,8,5,0,1.0,0,0,5
2018,585.0,0,11,36,1,20000.0,4,1,0,0,1.5,0,0,0
2014,643.0,23,0,6,1,0.0,0,0,2,1,2.5,1,1,1
2018,3950.0,0,6,9,0,28000.0,3,5,0,0,2.0,0,3,1
2018,819.0,3,9,47,1,43000.0,3,2,1,0,3.3,0,0,5
2016,348.0,1,0,17,1,0.0,0,11,0,0,1.5,1,0,0
2012,215.0,24,9,48,1,0.0,0,0,1,0,2.0,1,0,3
2004,155.0,1,14,42,1,88888.0,4,6,0,1,2.5,1,2,4
2015,510.0,1,14,49,1,0.0,8,10,2,1,2.5,1,1,1
2013,385.0,0,11,36,1,98000.0,1,1,0,0,1.6,0,0,0
2017,605.0,1,14,42,0,80000.0,5,1,0,1,2.2,0,1,4
2019,475.0,1,4,5,1,0.0,3,1,0,0,1.5,0,0,0
2014,685.0,1,1,1,0,69000.0,2,2,0,0,2.0,0,1,0
2015,678.0,0,14,42,0,0.0,10,7,0,1,3.2,0,2,4
2020,4659.0,1,3,8,1,15000.0,3,6,0,0,3.0,0,1,0
2016,938.0,0,1,1,0,60000.0,3,1,0,0,2.0,0,1,0
2014,1999.0,0,3,8,1,78000.0,3,1,0,0,3.0,0,1,0
2021,689.0,0,11,50,0,2000.0,3,1,0,1,1.9,0,1,4
2016,685.0,0,14,42,0,79000.0,11,4,0,1,2.2,0,1,4
2010,138.0,0,2,51,0,0.0,0,0,0,0,1.1,1,0,2
2017,385.0,0,0,17,1,17000.0,2,1,0,0,1.5,1,0,0
2021,2499.0,0,10,52,0,10000.0,3,5,0,0,2.0,0,1,0
2003,155.0,0,1,1,1,0.0,2,1,0,0,2.0,0,1,0
2020,670.0,1,0,21,1,11800.0,0,1,2,0,2.0,1,1,3
2015,230.0,11,13,45,1,50000.0,1,5,0,0,1.0,0,0,2
2013,333.0,9,2,53,0,0.0,3,0,0,0,1.4,1,0,0
2017,1980.0,0,10,54,0,68000.0,3,5,0,0,2.0,0,3,1
2012,118.0,13,9,25,1,0.0,3,0,0,0,1.1,1,0,2
2020,4600.0,0,3,8,1,7000.0,3,6,0,0,3.0,0,1,0
2014,1865.0,0,10,19,0,62000.0,3,1,0,0,3.5,0,3,1
2014,282.0,15,2,37,0,0.0,0,7,0,0,1.0,0,0,2
2019,1785.0,0,3,15,1,36000.0,3,2,0,0,2.0,0,3,1
2012,375.0,0,0,22,0,80000.0,5,0,0,0,1.5,0,0,2
2008,216.0,25,13,38,1,0.0,2,2,1,0,2.4,0,0,1
2009,479.0,0,3,55,1,140000.0,2,1,0,0,3.0,0,3,1
2005,133.0,1,0,56,1,0.0,4,0,2,0,1.8,1,1,1
2016,449.0,11,9,57,1,68000.0,3,6,0,0,1.6,0,0,0
2012,335.0,0,12,58,0,92356.0,11,1,0,1,2.5,1,2,4
2016,288.0,26,9,25,1,0.0,6,0,0,0,1.25,0,0,2
2018,1560.0,0,3,4,1,50000.0,3,1,0,0,2.0,0,1,0
2012,112.0,24,13,45,1,0.0,3,4,5,0,0.8,1,0,5
2013,450.0,0,9,57,1,60000.0,3,1,0,0,2.0,0,0,0
2012,628.0,0,3,16,1,12345.0,3,8,0,0,1.8,0,1,0
2016,550.0,0,12,58,0,69000.0,11,1,0,1,2.5,0,2,4
2019,505.0,0,0,17,1,45000.0,1,5,0,0,1.5,0,0,0
2016,267.0,25,2,37,0,72000.0,3,8,0,0,1.25,1,0,2
2020,900.0,27,0,0,0,0.0,2,2,0,0,2.0,0,0,0
2006,125.0,10,3,59,1,999999.0,0,3,4,1,2.2,1,1,5
2018,1760.0,0,3,15,1,45000.0,2,6,0,0,2.0,0,3,1
2020,5199.0,0,6,60,0,5000.0,3,1,5,0,2.0,0,1,6
2016,396.0,0,11,20,1,0.0,1,1,0,0,1.5,0,0,0
2017,1980.0,0,10,54,0,68000.0,3,5,0,0,2.0,0,3,1
2015,1025.0,0,3,4,1,0.0,2,5,0,0,2.0,0,1,0
2008,185.0,4,0,21,1,80000.0,0,3,2,0,2.0,1,1,3
2012,738.0,1,2,61,0,30000.0,1,1,3,0,2.0,0,1,6
2017,1470.0,0,16,62,0,30000.0,3,1,0,0,1.8,0,0,0
2014,2150.0,0,3,8,1,65000.0,2,2,0,0,3.0,0,1,0
2018,343.0,24,2,37,1,0.0,7,7,0,0,1.25,0,0,2
2015,1268.0,1,3,31,0,80000.0,3,1,1,1,2.1,0,1,5
2016,1468.0,0,3,16,1,45000.0,4,6,0,0,2.0,0,1,0
2018,920.0,0,4,14,0,50000.0,3,1,1,0,1.5,0,0,1
2014,835.0,6,3,16,1,0.0,2,6,0,0,2.0,0,1,0
2015,455.0,0,0,22,0,65000.0,4,2,0,0,1.3,0,0,2
2021,1250.0,0,9,63,1,6000.0,3,2,1,1,2.2,0,3,1
2017,465.0,1,14,29,1,46000.0,2,1,0,0,1.5,0,0,1
2009,195.0,6,9,25,0,0.0,6,1,0,0,1.0,0,0,2
2021,1915.0,0,3,16,1,10000.0,3,0,0,0,1.5,0,1,0
2011,145.0,0,9,25,1,0.0,12,7,0,0,1.1,1,0,2
2020,593.0,20,9,64,1,19000.0,3,2,0,0,1.6,0,0,0
2017,695.0,0,11,65,1,40000.0,3,1,0,0,2.0,0,0,0
2014,316.0,0,8,13,1,61000.0,12,2,0,0,1.5,0,0,0
2017,730.0,28,11,65,1,71000.0,3,1,0,0,2.0,0,0,0
2010,160.0,26,15,66,0,0.0,2,10,0,0,1.2,1,0,0
2019,1629.0,1,3,4,1,33000.0,3,1,0,0,2.0,0,1,0
2018,548.0,1,14,29,1,30000.0,3,1,0,0,1.5,0,0,1
2021,970.0,0,0,27,0,10000.0,3,1,0,1,2.8,0,2,4
2021,3480.0,0,10,19,0,0.0,2,6,0,0,2.0,0,3,1
2018,472.0,1,4,5,1,48148.0,0,3,0,0,1.5,0,0,0
2020,790.0,0,5,7,1,11000.0,4,1,0,0,2.0,0,1,0
2017,312.0,1,2,37,1,0.0,0,7,0,0,1.25,0,0,0
2003,98.0,21,15,67,1,0.0,3,4,0,0,1.5,1,0,0
2021,525.0,0,2,53,1,12000.0,6,7,0,0,1.4,0,0,0
2015,450.0,0,9,57,1,70000.0,12,1,0,0,2.0,0,0,0
2020,598.0,1,14,29,1,30000.0,4,1,0,0,1.5,0,0,1
2020,1239.0,0,0,0,0,8000.0,2,1,0,0,2.5,0,0,0
2019,835.0,3,11,46,1,38000.0,1,1,0,0,2.5,0,0,1
2003,148.0,24,14,42,1,0.0,2,0,0,1,2.5,1,2,4
2012,985.0,0,7,12,0,50000.0,4,7,0,0,2.0,0,3,1
2019,765.0,0,11,65,1,23000.0,3,1,0,0,2.0,0,0,0
2010,343.0,3,0,6,1,0.0,0,0,2,0,2.7,0,2,1
2019,455.0,3,2,53,1,20000.0,1,0,0,0,1.4,0,0,0
2016,705.0,0,4,14,1,68000.0,3,2,0,0,2.0,0,0,1
2017,710.0,1,0,21,1,76100.0,1,1,2,0,2.0,0,1,3
2008,450.0,29,16,68,0,90000.0,1,2,0,0,2.0,0,3,0
2018,758.0,1,2,69,1,77000.0,7,12,0,0,2.0,0,0,3
2020,360.0,0,9,25,1,13000.0,1,0,0,0,1.25,0,0,2
2017,2599.0,0,3,8,1,44000.0,2,6,0,0,3.0,0,1,0
2007,199.0,6,13,38,1,0.0,2,11,1,0,2.4,1,0,1
2016,1135.0,0,3,4,1,0.0,3,4,0,0,2.0,0,1,0
2009,265.0,30,12,58,0,98000.0,0,8,0,1,2.5,1,1,4
2009,298.0,0,0,22,0,90000.0,4,0,0,0,1.3,0,0,2
2015,485.0,0,11,36,1,70000.0,3,1,0,0,1.5,0,0,0
2019,285.0,9,17,70,0,25000.0,4,7,0,0,1.0,0,0,2
2018,510.0,9,9,64,1,0.0,3,2,0,0,1.6,0,0,0
1999,32.0,19,15,30,0,100000.0,3,10,0,0,0.8,1,0,2
2011,365.0,0,14,71,1,60000.0,12,1,0,0,2.3,0,2,1
2019,3770.0,0,10,19,0,12000.0,7,6,0,0,3.5,0,3,1
2012,315.0,4,14,71,1,145678.0,2,1,0,0,2.3,0,2,1
2021,5388.0,0,6,9,0,1396.0,3,5,0,0,3.0,0,3,1
2013,295.0,0,14,72,1,40000.0,3,10,0,0,1.6,0,0,0
2015,1198.0,0,7,12,0,50000.0,4,2,0,0,2.0,0,3,1
2020,338.0,31,5,73,1,0.0,1,0,0,0,1.4,0,0,2
2014,938.0,0,3,16,1,0.0,3,1,0,0,2.0,0,1,0
2020,3899.0,0,3,8,1,7300.0,2,1,0,0,3.0,0,1,0
2011,320.0,1,2,74,1,66000.0,3,3,0,0,1.6,0,0,0
2017,1450.0,0,3,15,1,40000.0,3,2,0,0,2.0,0,3,1
2019,480.0,1,2,53,1,15000.0,3,9,0,0,1.4,0,0,0
2004,150.0,0,14,71,1,150000.0,1,2,0,0,3.0,0,2,1
2014,315.0,0,8,13,1,6600.0,7,2,0,0,1.5,0,0,0
2008,780.0,6,1,75,0,90000.0,0,6,0,0,3.0,0,3,1
2017,3220.0,0,3,8,1,0.0,2,6,0,0,3.0,0,1,0
2007,208.0,1,9,76,1,0.0,0,0,1,0,2.5,1,0,5
2010,178.0,30,2,51,0,0.0,4,0,0,0,1.1,1,0,2
2017,500.0,1,0,22,0,61000.0,3,1,0,0,1.5,0,0,2
2009,149.0,32,2,51,0,140000.0,0,7,0,0,1.1,1,0,2
2012,1750.0,1,7,77,0,0.0,3,8,0,0,5.0,0,3,1
2017,1790.0,1,16,78,0,32000.0,2,6,0,0,2.0,0,3,1
2016,190.0,27,9,25,1,0.0,6,10,0,0,1.25,1,0,2
2007,345.0,0,0,6,0,0.0,2,2,2,0,2.7,0,2,1
2020,775.0,0,11,36,1,10000.0,1,5,0,0,2.0,0,0,2
2019,3099.0,0,10,19,0,15000.0,6,6,0,0,2.0,0,3,1
2009,220.0,8,14,79,1,71000.0,6,11,0,0,1.8,1,0,0
2018,280.0,1,13,80,1,24000.0,0,0,0,0,1.4,1,0,0
2008,260.0,9,4,81,1,100000.0,4,2,0,0,1.8,0,0,0
2020,493.0,24,0,17,1,0.0,6,0,0,0,1.5,0,0,0
2020,496.0,1,0,17,1,64595.0,3,2,0,0,1.5,0,0,0
2017,445.0,23,4,5,1,90000.0,7,2,0,0,1.5,0,0,0
2021,638.0,29,2,23,1,8958.0,3,2,0,0,1.6,0,0,0
2017,408.0,11,0,17,1,0.0,0,0,0,0,1.5,0,0,0
2014,2480.0,0,3,8,1,0.0,3,4,0,0,4.7,0,1,0
2017,1250.0,0,3,82,0,44000.0,7,1,0,0,2.0,0,3,1
1998,150.0,1,0,0,0,123000.0,4,6,0,0,2.2,1,0,0
2019,348.0,18,9,25,1,32000.0,3,2,0,0,1.25,0,0,2
2009,130.0,19,3,59,1,5200000.0,0,3,6,1,2.2,1,1,5
2014,326.0,0,14,72,1,71000.0,0,4,0,0,1.5,0,0,0
2012,1039.0,0,7,12,0,80000.0,1,5,0,0,2.0,0,3,1
2017,348.0,0,2,37,1,0.0,3,7,0,0,1.25,0,0,2
2020,1190.0,0,14,49,0,9000.0,1,1,1,1,2.0,0,1,1
2017,420.0,33,0,17,1,0.0,12,2,0,0,1.5,0,0,0
2008,170.0,21,0,21,1,0.0,0,0,2,0,2.0,1,1,3
2019,619.0,0,9,64,1,30000.0,1,7,0,0,2.0,0,0,0
2017,1660.0,0,3,16,1,60000.0,0,1,0,0,2.0,0,1,0
2015,955.0,0,3,16,1,0.0,4,2,0,0,2.0,0,1,0
2019,3899.0,0,6,9,0,20000.0,2,5,0,0,2.0,0,3,1
2018,495.0,0,0,17,1,0.0,3,2,0,0,1.5,0,0,0
2009,163.0,19,0,17,1,0.0,2,0,0,0,1.5,1,0,0
2017,686.0,1,9,63,1,0.0,3,0,1,0,2.4,0,0,1
2013,465.0,24,14,42,0,98000.0,12,1,0,1,2.2,1,2,4
2019,849.0,29,11,46,1,53000.0,3,1,0,0,2.5,0,3,1
2019,263.0,12,0,83,0,0.0,3,0,0,0,1.2,1,0,2
2018,699.0,0,11,65,1,40000.0,4,4,0,0,2.0,0,0,0
1993,280.0,14,0,84,0,0.0,2,1,0,0,3.0,1,1,0
2018,3450.0,0,3,8,1,20000.0,2,2,0,0,3.0,0,1,0
2015,460.0,1,18,85,0,190000.0,1,1,0,1,2.5,1,1,4
2010,438.0,11,0,6,1,0.0,0,0,2,1,2.5,1,1,1
2020,655.0,0,0,22,0,15000.0,1,2,0,0,1.5,0,0,2
2016,545.0,0,13,38,1,0.0,0,4,1,0,2.4,0,0,1
2017,620.0,1,18,86,0,130000.0,11,10,1,1,2.5,1,1,1
2019,848.0,0,14,42,0,35000.0,10,0,0,1,2.0,0,2,4
2017,635.0,0,14,42,0,65000.0,3,1,0,1,2.2,1,1,4
2019,1128.0,0,0,6,1,36000.0,0,7,2,1,2.8,0,2,1
2015,415.0,0,13,87,1,56000.0,2,7,1,0,1.8,0,0,1
2007,500.0,1,3,88,0,100000.0,7,2,1,0,4.7,0,3,1
2011,450.0,0,2,89,0,14000.0,3,1,0,0,2.0,0,0,0
2017,835.0,0,9,47,1,90000.0,3,2,1,1,2.2,0,0,5
2017,470.0,0,4,5,1,50000.0,7,1,0,0,1.5,0,0,0
2020,580.0,0,2,23,1,56000.0,1,9,0,0,1.6,0,0,0
2019,4350.0,0,3,8,1,4350.0,3,6,0,0,3.0,0,1,0
2020,688.0,1,2,23,1,22000.0,2,1,0,0,1.6,0,0,0
2015,460.0,21,11,36,1,80000.0,7,8,0,0,1.5,0,0,0
2022,3220.0,0,3,15,0,200.0,1,6,0,0,2.0,0,3,1
1998,105.0,2,11,90,1,4000000.0,2,1,0,0,2.0,1,0,0
2015,163.0,24,9,25,1,0.0,0,0,0,0,1.25,1,0,2
2003,102.0,18,2,91,0,0.0,0,0,5,1,2.5,1,2,5
2021,9690.0,0,6,92,0,926.0,6,1,3,0,3.0,0,1,6
2009,1000.0,1,6,43,0,0.0,11,6,0,0,4.8,0,3,1
2018,310.0,0,2,37,1,28000.0,0,7,0,0,1.25,1,0,2
2011,888.0,0,10,52,0,100000.0,1,6,0,0,2.5,0,1,0
2010,300.0,1,14,71,1,113000.0,2,1,0,0,2.3,0,2,1
2010,110.0,0,9,25,1,0.0,0,3,0,0,1.1,1,0,2
2019,458.0,21,9,64,1,0.0,11,4,0,0,1.6,1,0,0
2018,780.0,0,2,69,1,60000.0,6,2,0,1,2.0,0,0,3
2015,735.0,33,2,2,1,75000.0,2,1,1,0,2.4,0,2,1
2017,825.0,0,0,6,0,70000.0,2,13,2,1,2.4,1,1,1
2004,180.0,0,0,56,1,150000.0,4,7,2,0,1.8,1,1,1
2016,6480.0,0,10,93,0,55000.0,2,5,1,0,5.7,0,3,1
2021,2900.0,0,3,16,1,1500.0,3,6,0,0,2.0,0,1,0
2019,1450.0,0,3,4,1,38000.0,3,1,0,0,2.0,0,1,0
2014,230.0,0,9,25,0,70000.0,11,1,5,0,1.0,0,0,5
2014,383.0,12,0,22,0,68000.0,0,0,0,0,1.3,0,0,2
2018,518.0,9,9,64,1,40000.0,1,2,0,0,1.6,0,0,0
2016,253.0,24,2,37,0,0.0,3,0,0,0,1.25,1,0,0
2017,471.0,34,4,5,1,66000.0,4,1,0,0,1.5,0,0,0
2014,435.0,0,9,57,1,0.0,3,0,0,0,1.6,0,0,0
2017,355.0,9,13,28,1,66666.0,3,1,0,0,1.6,1,0,0
2009,235.0,27,4,81,1,0.0,2,0,0,0,1.8,1,0,0
2015,940.0,0,3,4,1,40000.0,2,1,0,0,2.0,0,1,0
2018,1648.0,0,3,16,1,30000.0,2,1,0,0,2.0,0,1,0
2019,625.0,0,9,64,1,38000.0,1,7,0,0,2.0,0,0,0
2009,325.0,0,2,94,0,100000.0,11,1,0,0,1.6,0,0,2
2022,610.0,0,5,95,1,800.0,3,1,0,2,0.1,0,0,3
2015,550.0,35,0,35,1,50000.0,2,2,0,0,1.8,0,0,0
2017,250.0,24,2,37,0,52000.0,10,7,0,0,1.0,1,0,2
2004,116.0,27,11,96,0,89000.0,3,3,0,0,1.6,1,0,0
2010,305.0,0,11,36,0,0.0,1,1,0,0,1.6,0,0,2
2019,625.0,0,9,64,1,38000.0,1,7,0,0,2.0,0,0,0
2022,595.0,6,5,95,1,1.0,2,1,0,2,0.1,0,0,3
2010,452.0,0,0,0,1,90000.0,2,0,0,0,2.4,0,0,0
2015,450.0,36,11,36,1,60.0,3,1,0,0,1.5,0,0,0
2020,939.0,0,2,69,1,15000.0,3,2,0,1,2.0,0,0,3
2005,118.0,24,0,17,1,0.0,2,1,0,0,1.5,1,0,0
2016,245.0,20,9,25,1,112000.0,0,0,0,0,1.25,1,0,2
2019,915.0,0,5,11,1,0.0,3,6,1,0,2.0,0,1,1
2020,6690.0,0,6,43,0,8000.0,3,1,0,0,3.0,0,3,1
2013,500.0,31,0,6,1,100000.0,0,0,2,0,2.7,0,2,1
2008,238.0,37,0,21,1,110000.0,2,2,2,0,2.0,1,1,3
2014,630.0,0,3,4,1,65555.0,0,1,0,0,1.8,0,1,0
2019,488.0,0,0,17,1,0.0,2,2,0,0,1.5,0,0,0
2021,835.0,0,5,7,1,0.0,2,1,0,0,2.0,0,1,0
2004,155.0,18,14,97,1,142533.0,2,2,0,0,1.8,1,0,0
2014,180.0,4,2,37,0,0.0,0,0,0,0,1.0,1,0,2
2021,1650.0,1,3,4,1,19000.0,3,1,0,0,2.0,0,1,0
2018,570.0,0,11,36,1,36000.0,3,1,0,0,1.5,0,0,0
2013,880.0,0,1,98,0,87000.0,3,2,0,0,2.0,0,1,0
2016,930.0,0,3,4,1,15000.0,2,4,0,0,2.0,0,1,0
2014,320.0,21,13,28,1,0.0,2,0,0,0,1.8,0,0,0
2010,1480.0,0,10,99,0,80000.0,7,2,0,0,4.6,0,1,0
2016,270.0,27,2,37,0,50000.0,3,7,0,0,1.25,1,0,0
2013,158.0,19,9,25,1,0.0,0,0,0,0,1.1,1,0,2
2007,173.0,6,13,38,1,0.0,0,0,1,0,2.4,1,0,1
2009,325.0,2,14,42,1,0.0,0,1,0,1,2.5,1,2,4
2011,343.0,0,0,22,0,68000.0,1,0,0,0,1.3,0,0,2
2017,405.0,1,9,64,1,45000.0,2,2,0,0,1.6,1,0,0
2008,660.0,0,1,75,0,100000.0,2,2,0,0,3.0,0,3,1
2019,595.0,6,11,36,1,17000.0,3,1,0,0,1.5,0,0,0
2018,350.0,0,0,17,1,70000.0,3,7,0,0,1.5,0,0,0
2016,488.0,0,11,36,1,0.0,3,1,0,0,1.5,0,0,0
2019,568.0,0,12,100,0,30000.0,3,2,1,0,1.5,0,0,1
2017,450.0,0,4,5,1,60000.0,1,1,0,0,1.5,0,0,0
2019,1135.0,0,0,0,0,0.0,2,1,0,0,2.5,0,0,0
2012,333.0,38,0,21,1,0.0,0,0,2,0,2.0,1,1,3
2021,818.0,1,0,101,0,1500.0,3,5,0,0,1.8,0,0,1
2018,1720.0,0,3,15,1,47000.0,3,2,0,0,2.0,0,3,1
2015,900.0,1,3,102,0,22000.0,3,1,0,0,2.0,0,0,2
2016,156.0,1,13,45,1,0.0,3,4,0,0,1.0,1,0,2
2018,2350.0,0,1,98,0,0.0,2,6,0,0,2.0,0,1,0
1998,28.0,39,9,103,1,0.0,11,0,0,0,1.3,1,0,0
2015,188.0,29,9,25,1,0.0,12,4,0,0,1.25,1,0,2
2010,468.0,0,0,0,1,120000.0,2,2,0,0,2.4,0,0,0
2019,498.0,0,4,5,1,0.0,1,4,0,0,1.5,0,0,0
2019,438.0,40,12,100,0,66000.0,0,0,1,0,1.5,1,0,1
2016,435.0,1,14,29,1,91000.0,0,1,0,0,1.5,0,0,1
2011,385.0,0,4,81,1,60000.0,2,2,0,0,1.8,0,0,0
2011,485.0,27,2,61,0,77000.0,1,6,3,0,2.0,0,1,6
2019,1800.0,0,3,16,1,21110.0,2,6,0,0,2.0,0,1,0
2007,250.0,31,14,49,1,0.0,0,4,2,1,2.5,1,1,1
2009,175.0,38,0,17,1,0.0,0,0,0,0,1.5,1,0,0
2008,689.0,11,16,104,0,90000.0,2,1,3,0,2.0,0,3,6
2014,1350.0,0,0,3,0,100000.0,6,1,1,0,2.7,0,2,1
2011,146.0,15,9,25,1,0.0,3,1,0,0,1.1,1,0,2
2011,600.0,1,1,1,0,45000.0,3,9,0,0,2.0,0,1,0
2014,565.0,0,0,6,1,80000.0,2,2,2,0,2.7,0,1,1
2022,850.0,0,2,69,1,26000.0,3,12,0,0,2.0,0,0,3
2015,2430.0,0,6,9,0,40000.0,3,1,0,0,2.0,0,3,1
2020,735.0,0,9,105,1,20000.0,3,2,0,0,1.4,0,0,3
2019,498.0,41,2,23,1,0.0,2,1,0,0,1.6,1,0,0
2017,3240.0,0,10,19,0,23000.0,3,2,0,0,3.5,0,3,1
2008,1055.0,0,10,106,0,96000.0,2,2,1,0,4.7,0,3,1
2007,165.0,21,9,76,1,2350000.0,2,7,1,0,2.5,1,0,5
2015,455.0,0,9,57,1,60000.0,3,1,0,0,2.0,0,0,0
2019,390.0,24,5,73,1,28140.0,3,1,0,0,1.4,0,0,2
2010,150.0,0,15,34,1,71000.0,2,1,0,0,1.6,1,0,0
2020,342.0,20,5,73,1,15000.0,1,1,0,0,1.4,0,0,2
1999,85.0,5,11,96,0,9000000.0,4,10,0,0,1.6,1,0,0
2013,775.0,0,3,16,1,8.0,7,1,0,0,2.0,0,1,0
